name,emissions,carbon_dioxide_emissions
Faroe Islands,0.80,800
Eritrea,0.77,770
Mali,0.74,740
Rwanda,0.74,740
Bermuda,0.71,710
Antigua and Barbuda,0.69,690
Liberia,0.69,690
American Samoa,0.67,670
Timor-Leste (East Timor),0.63,630
Greenland,0.61,610
Guinea-Bissau,0.46,460
Gambia,0.44,440
Cayman Islands,0.43,430
Saint Lucia,0.41,410
Burundi,0.37,370
Cape Verde,0.34,340
Bhutan,0.33,330
Western Sahara,0.32,320
Antarctica,0.31,310
Grenada,0.30,300
Saint Kitts and Nevis,0.30,300
Central African Republic,0.29,290
Chad,0.29,290
Solomon Islands,0.29,290
U.S. Pacific Islands,0.29,290
Saint Vincent/Grenadines,0.27,270
Lesotho,0.27,270
Nauru,0.20,200
Montserrat,0.15,150
"Virgin Islands, British",0.15,150
Comoros,0.15,150
Sao Tome and Principe,0.15,150
Cook Islands,0.15,150
Samoa,0.15,150
Tonga,0.15,150
Vanuatu,0.15,150
Dominica,0.14,140
Saint Pierre and Miquelon,0.11,110
Turks and Caicos Islands,0.08,80
Falkland Islands (Islas Malvinas),0.05,50
Kiribati,0.04,40
Saint Helena,0.01,10
Niue,0.01,10
